1393 TSE ETF UBS ETF US stocks (MSCI USA)（ETF）,,,,,
Date(日付)
Open: Opening price (始値)
High: High price (高値)
Low: Low price (安値)
Close: Closing price (終値)
Vol: Trading volume (出来高)
AdjClose: Adjusted closing price (終値調整値)

Date,Open,High,Low,Close,Vol,AdjClose
"2017-10-19","27600","27750","27600","27710","35","27710"
"2017-10-23","28000","28150","28000","28150","14","28150"
"2017-10-24","28500","28500","27970","27970","39","27970"
"2017-10-25","28390","28390","28120","28120","4","28120"
"2017-10-30","28100","28100","28100","28100","20","28100"
"2017-10-31","27990","27990","27990","27990","1","27990"
"2017-11-01","28200","28200","28200","28200","5","28200"
"2017-11-02","28150","28220","28150","28220","13","28220"
"2017-11-13","28990","28990","28280","28280","32","28280"
"2017-11-16","28400","28400","27890","27890","18","27890"
"2017-11-22","28200","28200","28200","28200","11","28200"
"2017-11-24","27860","28360","27770","27770","23","27770"
"2017-11-29","28000","28270","28000","28110","31","28110"
"2017-12-01","28520","28520","28520","28520","3","28520"
"2017-12-04","28780","28840","28780","28840","4","28840"
"2017-12-05","28800","28800","28600","28630","54","28630"
"2017-12-06","28520","28520","28270","28270","13","28270"
"2017-12-07","28470","28470","28450","28450","2","28450"
"2017-12-11","29020","29020","29020","29020","6","29020"
"2017-12-12","29210","29210","29210","29210","3","29210"
"2017-12-13","29130","29130","29130","29130","4","29130"
"2017-12-14","28770","28810","28770","28810","14","28810"
"2017-12-15","28710","28740","28710","28740","11","28740"
"2017-12-18","29310","29310","29180","29180","2","29180"
"2017-12-19","29370","29370","29230","29230","6","29230"
"2017-12-22","29230","29230","29230","29230","10","29230"
"2017-12-25","29500","29500","29300","29300","85","29300"
"2017-12-26","29300","29300","29300","29300","5","29300"
"2017-12-28","29800","29800","29290","29290","10","29290"
"2017-12-29","29110","29110","29110","29110","10","29110"
